date,code,name,close,ma5,ma10,ma20,convex,bullish_ma,year_high_10d,breakout_date,ma20_slope_first,ma20_slope_second
2026-08-24,601665,齐鲁银行,6.56,6.494000000000007,6.372000000000001,6.316000000000001,True,True,True,2026-08-24,0.019166666666666603,0.012500000000000178
2026-08-24,601919,中远海控,17.42,16.78600000000002,16.14399999999997,15.833500000000004,True,True,True,2026-08-24,0.08838888888888856,0.06316666666666669
2026-08-24,603580,艾艾精工,72.8,72.076,63.81699999999999,59.13950000000001,True,True,True,2026-08-21,1.44188888888889,1.1447222222222218
